UID,채무 불이행 확률
TEST_0000,0.49
TEST_0001,0.41
TEST_0002,0.38
TEST_0003,0.2
TEST_0004,0.3
TEST_0005,0.25
TEST_0006,0.67
TEST_0007,0.6
TEST_0008,0.38
TEST_0009,0.36
TEST_0010,0.52
TEST_0011,0.3
TEST_0012,0.36
TEST_0013,0.39
TEST_0014,0.72
TEST_0015,0.22
TEST_0016,0.46
TEST_0017,0.2
TEST_0018,0.31
TEST_0019,0.25
TEST_0020,0.31
TEST_0021,0.43
TEST_0022,0.33
TEST_0023,0.29
TEST_0024,0.23
TEST_0025,0.44
TEST_0026,0.44
TEST_0027,0.53
TEST_0028,0.47
TEST_0029,0.84
TEST_0030,0.18
TEST_0031,0.35
TEST_0032,0.31
TEST_0033,0.49
TEST_0034,0.31
TEST_0035,0.28
TEST_0036,0.45
TEST_0037,0.18
TEST_0038,0.37
TEST_0039,0.46
TEST_0040,0.63
TEST_0041,0.18
TEST_0042,0.11
TEST_0043,0.22
TEST_0044,0.2
TEST_0045,0.42
TEST_0046,0.53
TEST_0047,0.48
TEST_0048,0.63
TEST_0049,0.3
TEST_0050,0.39
TEST_0051,0.14
TEST_0052,0.56
TEST_0053,0.35
TEST_0054,0.29
TEST_0055,0.3
TEST_0056,0.13
TEST_0057,0.37
TEST_0058,0.55
TEST_0059,0.29
TEST_0060,0.21
TEST_0061,0.11
TEST_0062,0.57
TEST_0063,0.33
TEST_0064,0.65
TEST_0065,0.35
TEST_0066,0.31
TEST_0067,0.19
TEST_0068,0.33
TEST_0069,0.39
TEST_0070,0.2
TEST_0071,0.59
TEST_0072,0.12
TEST_0073,0.15
TEST_0074,0.37
TEST_0075,0.57
TEST_0076,0.22
TEST_0077,0.42
TEST_0078,0.23
TEST_0079,0.27
TEST_0080,0.26
TEST_0081,0.5
TEST_0082,0.52
TEST_0083,0.47
TEST_0084,0.54
TEST_0085,0.41
TEST_0086,0.53
TEST_0087,0.4
TEST_0088,0.14
TEST_0089,0.44
TEST_0090,0.59
TEST_0091,0.21
TEST_0092,0.28
TEST_0093,0.47
TEST_0094,0.2
TEST_0095,0.38
TEST_0096,0.26
TEST_0097,0.33
TEST_0098,0.41
TEST_0099,0.35
TEST_0100,0.4
TEST_0101,0.13
TEST_0102,0.29
TEST_0103,0.24
TEST_0104,0.59
TEST_0105,0.31
TEST_0106,0.54
TEST_0107,0.27
TEST_0108,0.15
TEST_0109,0.24
TEST_0110,0.19
TEST_0111,0.36
TEST_0112,0.24
TEST_0113,0.45
TEST_0114,0.5
TEST_0115,0.26
TEST_0116,0.42
TEST_0117,0.11
TEST_0118,0.3
TEST_0119,0.46
TEST_0120,0.26
TEST_0121,0.26
TEST_0122,0.2
TEST_0123,0.3
TEST_0124,0.34
TEST_0125,0.25
TEST_0126,0.28
TEST_0127,0.29
TEST_0128,0.27
TEST_0129,0.44
TEST_0130,0.65
TEST_0131,0.34
TEST_0132,0.53
TEST_0133,0.31
TEST_0134,0.17
TEST_0135,0.56
TEST_0136,0.74
TEST_0137,0.52
TEST_0138,0.72
TEST_0139,0.83
TEST_0140,0.63
TEST_0141,0.31
TEST_0142,0.11
TEST_0143,0.18
TEST_0144,0.15
TEST_0145,0.34
TEST_0146,0.48
TEST_0147,0.38
TEST_0148,0.41
TEST_0149,0.34
TEST_0150,0.48
TEST_0151,0.47
TEST_0152,0.48
TEST_0153,0.19
TEST_0154,0.6
TEST_0155,0.11
TEST_0156,0.72
TEST_0157,0.25
TEST_0158,0.41
TEST_0159,0.21
TEST_0160,0.59
TEST_0161,0.36
TEST_0162,0.15
TEST_0163,0.45
TEST_0164,0.33
TEST_0165,0.11
TEST_0166,0.47
TEST_0167,0.67
TEST_0168,0.21
TEST_0169,0.46
TEST_0170,0.52
TEST_0171,0.24
TEST_0172,0.17
TEST_0173,0.19
TEST_0174,0.28
TEST_0175,0.47
TEST_0176,0.23
TEST_0177,0.45
TEST_0178,0.34
TEST_0179,0.41
TEST_0180,0.4
TEST_0181,0.15
TEST_0182,0.2
TEST_0183,0.2
TEST_0184,0.45
TEST_0185,0.12
TEST_0186,0.09
TEST_0187,0.29
TEST_0188,0.36
TEST_0189,0.41
TEST_0190,0.38
TEST_0191,0.43
TEST_0192,0.34
TEST_0193,0.08
TEST_0194,0.11
TEST_0195,0.14
TEST_0196,0.5
TEST_0197,0.53
TEST_0198,0.15
TEST_0199,0.61
TEST_0200,0.11
TEST_0201,0.39
TEST_0202,0.25
TEST_0203,0.15
TEST_0204,0.46
TEST_0205,0.75
TEST_0206,0.61
TEST_0207,0.1
TEST_0208,0.2
TEST_0209,0.56
TEST_0210,0.41
TEST_0211,0.59
TEST_0212,0.5
TEST_0213,0.37
TEST_0214,0.19
TEST_0215,0.33
TEST_0216,0.16
TEST_0217,0.36
TEST_0218,0.13
TEST_0219,0.42
TEST_0220,0.46
TEST_0221,0.45
TEST_0222,0.58
TEST_0223,0.39
TEST_0224,0.27
TEST_0225,0.43
TEST_0226,0.31
TEST_0227,0.34
TEST_0228,0.5
TEST_0229,0.27
TEST_0230,0.41
TEST_0231,0.58
TEST_0232,0.31
TEST_0233,0.31
TEST_0234,0.15
TEST_0235,0.55
TEST_0236,0.33
TEST_0237,0.3
TEST_0238,0.28
TEST_0239,0.25
TEST_0240,0.43
TEST_0241,0.21
TEST_0242,0.29
TEST_0243,0.66
TEST_0244,0.27
TEST_0245,0.77
TEST_0246,0.3
TEST_0247,0.79
TEST_0248,0.37
TEST_0249,0.25
TEST_0250,0.3
TEST_0251,0.36
TEST_0252,0.78
TEST_0253,0.57
TEST_0254,0.2
TEST_0255,0.7
TEST_0256,0.48
TEST_0257,0.24
TEST_0258,0.22
TEST_0259,0.17
TEST_0260,0.26
TEST_0261,0.54
TEST_0262,0.16
TEST_0263,0.32
TEST_0264,0.39
TEST_0265,0.19
TEST_0266,0.29
TEST_0267,0.29
TEST_0268,0.36
TEST_0269,0.3
TEST_0270,0.36
TEST_0271,0.23
TEST_0272,0.31
TEST_0273,0.55
TEST_0274,0.12
TEST_0275,0.2
TEST_0276,0.35
TEST_0277,0.26
TEST_0278,0.25
TEST_0279,0.45
TEST_0280,0.39
TEST_0281,0.18
TEST_0282,0.24
TEST_0283,0.38
TEST_0284,0.26
TEST_0285,0.35
TEST_0286,0.26
TEST_0287,0.51
TEST_0288,0.18
TEST_0289,0.16
TEST_0290,0.36
TEST_0291,0.17
TEST_0292,0.31
TEST_0293,0.29
TEST_0294,0.29
TEST_0295,0.56
TEST_0296,0.2
TEST_0297,0.37
TEST_0298,0.51
TEST_0299,0.42
TEST_0300,0.48
TEST_0301,0.41
TEST_0302,0.49
TEST_0303,0.35
TEST_0304,0.22
TEST_0305,0.22
TEST_0306,0.59
TEST_0307,0.76
TEST_0308,0.64
TEST_0309,0.19
TEST_0310,0.17
TEST_0311,0.62
TEST_0312,0.41
TEST_0313,0.29
TEST_0314,0.42
TEST_0315,0.36
TEST_0316,0.25
TEST_0317,0.69
TEST_0318,0.34
TEST_0319,0.59
TEST_0320,0.46
TEST_0321,0.88
TEST_0322,0.63
TEST_0323,0.27
TEST_0324,0.67
TEST_0325,0.18
TEST_0326,0.41
TEST_0327,0.27
TEST_0328,0.57
TEST_0329,0.48
TEST_0330,0.14
TEST_0331,0.22
TEST_0332,0.37
TEST_0333,0.4
TEST_0334,0.36
TEST_0335,0.36
TEST_0336,0.19
TEST_0337,0.46
TEST_0338,0.48
TEST_0339,0.23
TEST_0340,0.42
TEST_0341,0.26
TEST_0342,0.56
TEST_0343,0.65
TEST_0344,0.28
TEST_0345,0.33
TEST_0346,0.34
TEST_0347,0.49
TEST_0348,0.47
TEST_0349,0.67
TEST_0350,0.33
TEST_0351,0.24
TEST_0352,0.42
TEST_0353,0.57
TEST_0354,0.3
TEST_0355,0.54
TEST_0356,0.71
TEST_0357,0.19
TEST_0358,0.35
TEST_0359,0.35
TEST_0360,0.16
TEST_0361,0.22
TEST_0362,0.3
TEST_0363,0.51
TEST_0364,0.42
TEST_0365,0.37
TEST_0366,0.43
TEST_0367,0.62
TEST_0368,0.41
TEST_0369,0.34
TEST_0370,0.24
TEST_0371,0.23
TEST_0372,0.26
TEST_0373,0.14
TEST_0374,0.61
TEST_0375,0.18
TEST_0376,0.25
TEST_0377,0.42
TEST_0378,0.37
TEST_0379,0.63
TEST_0380,0.18
TEST_0381,0.58
TEST_0382,0.34
TEST_0383,0.37
TEST_0384,0.3
TEST_0385,0.29
TEST_0386,0.4
TEST_0387,0.61
TEST_0388,0.08
TEST_0389,0.15
TEST_0390,0.25
TEST_0391,0.28
TEST_0392,0.18
TEST_0393,0.5
TEST_0394,0.3
TEST_0395,0.33
TEST_0396,0.34
TEST_0397,0.41
TEST_0398,0.54
TEST_0399,0.4
TEST_0400,0.28
TEST_0401,0.32
TEST_0402,0.37
TEST_0403,0.39
TEST_0404,0.45
TEST_0405,0.46
TEST_0406,0.25
TEST_0407,0.69
TEST_0408,0.23
TEST_0409,0.44
TEST_0410,0.3
TEST_0411,0.32
TEST_0412,0.52
TEST_0413,0.22
TEST_0414,0.2
TEST_0415,0.58
TEST_0416,0.1
TEST_0417,0.69
TEST_0418,0.33
TEST_0419,0.43
TEST_0420,0.22
TEST_0421,0.6
TEST_0422,0.15
TEST_0423,0.22
TEST_0424,0.52
TEST_0425,0.45
TEST_0426,0.44
TEST_0427,0.07
TEST_0428,0.46
TEST_0429,0.33
TEST_0430,0.37
TEST_0431,0.36
TEST_0432,0.25
TEST_0433,0.42
TEST_0434,0.46
TEST_0435,0.83
TEST_0436,0.57
TEST_0437,0.43
TEST_0438,0.1
TEST_0439,0.28
TEST_0440,0.32
TEST_0441,0.42
TEST_0442,0.36
TEST_0443,0.24
TEST_0444,0.44
TEST_0445,0.27
TEST_0446,0.26
TEST_0447,0.39
TEST_0448,0.29
TEST_0449,0.27
TEST_0450,0.12
TEST_0451,0.23
TEST_0452,0.61
TEST_0453,0.18
TEST_0454,0.24
TEST_0455,0.15
TEST_0456,0.31
TEST_0457,0.4
TEST_0458,0.39
TEST_0459,0.51
TEST_0460,0.21
TEST_0461,0.36
TEST_0462,0.36
TEST_0463,0.55
TEST_0464,0.29
TEST_0465,0.18
TEST_0466,0.22
TEST_0467,0.23
TEST_0468,0.38
TEST_0469,0.23
TEST_0470,0.43
TEST_0471,0.3
TEST_0472,0.36
